time,iteration,loss,test accuracy,test end,train accuracy,train end
144m 54s (- -145m 5s),214000,1.7244435216934688,70.5,97.6,74.3,96.5
145m 38s (- -146m 21s),215000,1.7147881399699845,72.1,95.19999999999999,75.4,95.39999999999999
146m 17s (- -147m 42s),216000,1.7360181982730913,68.10000000000001,94.6,72.39999999999999,94.1
146m 57s (- -147m 2s),217000,1.7412423834965154,68.7,93.0,71.39999999999999,93.8
147m 40s (- -148m 19s),218000,1.792502726690294,69.1,93.7,74.3,95.0
148m 24s (- -149m 35s),219000,1.7496449648909815,72.7,93.89999999999999,75.8,94.0
149m 1s (- -150m 58s),220000,1.7594896665574908,71.1,93.8,75.8,93.89999999999999
149m 44s (- -150m 15s),221000,1.724449281122321,73.2,96.0,76.7,94.39999999999999
150m 24s (- -151m 35s),222000,1.8137974477930572,69.1,95.1,71.1,95.5
151m 7s (- -152m 52s),223000,1.7372893527520914,71.1,94.1,72.1,94.0
151m 45s (- -152m 14s),224000,1.7497829475403774,66.9,93.0,69.89999999999999,91.7
152m 35s (- -153m 24s),225000,1.8295410751796979,70.39999999999999,92.9,74.1,92.9
153m 3s (- -154m 56s),226000,1.8413284627462432,66.7,93.2,70.19999999999999,94.5
153m 47s (- -154m 12s),227000,1.8175801728492924,69.19999999999999,95.8,72.39999999999999,95.7
154m 28s (- -155m 32s),228000,1.8133287576935013,71.0,96.2,76.8,96.3
155m 11s (- -156m 48s),229000,1.7648741693835344,69.39999999999999,95.7,73.5,96.6
155m 45s (- -156m 14s),230000,1.7495311938425924,71.8,96.1,74.4,95.5
156m 34s (- -157m 25s),231000,1.7533729814063965,71.2,93.60000000000001,74.2,93.8
157m 10s (- -158m 49s),232000,1.7541670154836153,71.7,95.1,74.0,96.0
157m 50s (- -158m 10s),233000,1.7467026601127738,72.0,94.5,73.4,94.39999999999999
158m 33s (- -159m 26s),234000,1.7808697000892664,73.6,95.89999999999999,73.3,95.3
159m 13s (- -160m 46s),235000,1.8063487536898502,72.7,94.19999999999999,73.6,94.19999999999999
159m 52s (- -160m 7s),236000,1.7185590808434525,70.39999999999999,92.5,71.39999999999999,91.10000000000001
160m 33s (- -161m 26s),237000,1.6882469282330836,68.5,96.6,73.1,96.7
161m 13s (- -162m 46s),238000,1.657048580018943,70.19999999999999,96.7,74.3,96.89999999999999
161m 50s (- -162m 9s),239000,1.8407063477581322,71.1,95.8,73.8,95.19999999999999
162m 33s (- -163m 26s),240000,1.750124908169129,71.6,94.69999999999999,74.8,95.8
163m 15s (- -164m 44s),241000,1.7742334391074126,74.0,93.7,77.9,95.8
163m 55s (- -164m 4s),242000,1.7631485645519722,69.0,94.5,73.5,95.5
164m 36s (- -165m 23s),243000,1.7734520322254657,69.8,94.69999999999999,72.89999999999999,94.39999999999999
165m 20s (- -166m 39s),244000,1.7585587102074465,68.4,94.5,71.6,93.8
165m 57s (- -166m 2s),245000,1.794810560104702,70.8,94.5,71.7,93.7
166m 38s (- -167m 21s),246000,1.7306821751004207,73.4,97.6,75.4,97.3
167m 22s (- -168m 37s),247000,1.785804443833113,71.39999999999999,94.19999999999999,76.7,94.8
168m 2s (- -169m 57s),248000,1.7656140697061233,71.39999999999999,92.9,75.7,94.19999999999999
168m 40s (- -169m 19s),249000,1.7411445505513206,69.39999999999999,93.10000000000001,73.5,91.8
169m 25s (- -170m 34s),250000,1.8406899908822392,70.19999999999999,96.6,74.7,96.1
170m 0s (- -171m 59s),251000,1.7346256295588518,70.19999999999999,96.1,74.2,94.19999999999999
170m 44s (- -171m 15s),252000,1.7784864455615619,72.7,95.0,76.5,92.9
171m 24s (- -172m 35s),253000,1.7503907574695274,69.8,94.6,74.7,94.6
172m 4s (- -173m 55s),254000,1.7666942504127061,69.89999999999999,96.3,72.5,94.6
172m 38s (- -173m 21s),255000,1.723343642166876,71.8,94.6,76.0,94.19999999999999
173m 26s (- -174m 33s),256000,1.7423779017738967,73.7,95.5,76.9,95.7
174m 1s (- -175m 58s),257000,1.7277490005584673,71.8,94.5,73.9,93.8
